genus_Akkermansia genus_Alistipes genus_Anaerotruncus genus_Anaerovorax genus_Bacteroides genus_Barnesiella genus_Bilophila genus_Blautia genus_Butyricicoccus genus_Butyricimonas genus_Clostridium.IV genus_Clostridium.XI genus_Clostridium.XVIII genus_Clostridium.XlVa genus_Clostridium.XlVb genus_Clostridium.sensu.stricto genus_Collinsella genus_Coprococcus genus_Dorea genus_Eggerthella genus_Erysipelotrichaceae_incertae_sedis genus_Faecalibacterium genus_Flavonifractor genus_Holdemania genus_Lachnospiracea_incertae_sedis genus_Odoribacter genus_Oscillibacter genus_Parabacteroides genus_Parasutterella genus_Phascolarctobacterium genus_Prevotella genus_Pseudoflavonifractor genus_Roseburia genus_Ruminococcus genus_Streptococcus genus_Veillonella genus_unclassified_Bacteria genus_unclassified_Clostridiales genus_unclassified_Clostridiales_Incertae.Sedis.XIII genus_unclassified_Coriobacteriaceae genus_unclassified_Erysipelotrichaceae genus_unclassified_Firmicutes genus_unclassified_Lachnospiraceae genus_unclassified_Porphyromonadaceae genus_unclassified_Ruminococcaceae
ZLYEM2C-01 0.025697267 0.027085765 0.000362217 0.003300197 0.162675575 0.000181108 0.004869803 0.010625025 0.001690345 0.000523202 0.011329336 0.006861995 0.000885419 0.000120739 0.000664064 0.000925665 0.003843522 0.002354409 0.005513744 0.001308005 0.002032439 0.033847145 0.000120739 4.02e-05 0.06016823 0.003038596 0.022819656 0.019982292 6.04e-05 0.000160985 0.00484968 0.001026281 0.003481306 0.010604902 0.000181108 0 0.125568479 0.062643377 0.000482956 0.004064877 0.012395863 0.017969976 0.066205176 0.034672194 0.210427818
ZLZNCLZ-01 8.21e-05 0.020746093 0.000957933 0.001368476 0.116101486 0.009305635 0.001532693 0.028026384 0.003776993 0.000109478 0.061362454 0.07064072 0.003558037 0.00057476 0.001231628 0.000903194 2.74e-05 0.005035991 0.004297014 5.47e-05 0.000246326 0.117141528 0.001012672 0.000218956 0.146290062 0.000492651 0.003530668 0.014971125 0 0.009415113 5.47e-05 2.74e-05 0.004269644 0.005035991 0.00057476 0.000328434 0.187289597 0.010810959 0.000164217 0.00112215 0.00169691 0.011768892 0.080521116 0 0.041355338
ZLZQMEV-01 0.069456842 0.037543941 0.000154275 0.000330589 0.478803707 0 0.003515268 0.026832843 0.000517923 0 0.056167146 0.001939458 0.000198354 0.001465613 0.001101965 0 2.2e-05 0.006027747 0.00532249 0.000286511 0.016672727 0.023945695 0.001035847 0.000165295 0.024375461 0 0.036838683 0.040012342 0 0.009509956 0.000396707 0.000231413 0.006666887 0.009774428 0.022061335 0.00971933 0.003878916 0.003845857 0.001355417 0.003008364 0.002997344 0.000595061 0.040133558 0.001300318 0.034789029
ZM7JY3G-01 0.000146302 0.021116286 0.000170686 4.88e-05 0.480651533 0.006632367 0.001194801 0.010533759 0.003535637 0.004242764 0.003511253 0.002535905 0 0.002048231 9.75e-05 0.000146302 0.00112165 0.013094048 0.005852088 0.001365487 0.004852357 0.046036429 0.000780278 2.44e-05 0.051303309 0.001219185 0.01502036 0.018409695 0 2.44e-05 0.011484724 0.000121919 0.018434079 0.005852088 0.002072615 0.001267953 0.090390383 0.039111458 0.000390139 0.000950964 0.002974812 0.001024115 0.027431665 0 0.074857965
ZM8YXDM-01 0 0.038656171 7.03e-05 0.00035142 0.413129041 0.008715209 0.000491988 0.047582232 0.000773123 0.001124543 0 0 0.011948271 0.001475963 0.002178802 0.002038234 0.000702839 0.003233062 0.005411864 0.000632556 0.000702839 0.050112454 0.000843407 0.000140568 0.136631993 0.006676975 0.004146753 0.038726455 0.000140568 0.005903852 0 0 0.01602474 0.028394715 0.000210852 0 0.038937307 0.000562272 0.000421704 0.000281136 0.010753444 0.002881642 0.042802924 0.00267079 0.049128479
ZMBH10Z-01 0.087893444 0.067103897 0.000151933 0.000177256 0.388164392 0.007115545 0.000405156 0.010559368 0.001797878 0 2.53e-05 0.001063533 0.001012889 0.001468689 0.000810311 0 0.001721911 0.0025069 0.002608189 0 0.000253222 0.063406852 0.001012889 2.53e-05 0.048973184 0.012762402 0.010255501 0.013800613 0.027499937 0 0 0.000177256 0.00967309 0.015978324 0.001342078 0.000253222 0.051935884 0.02514497 0.000481122 0.0027348 0.000151933 0.005064445 0.049454306 0 0.069534831
ZMBVNFM-02 0.09763467 0.096462152 0.000248033 2.25e-05 0.131389659 0.034634377 0 0.003337167 0.003314618 0 0.001398002 0.00843311 0.000293129 0.000699001 9.02e-05 0.001736229 0.000496065 0.000924485 0.001961713 0 0 0.041804776 0.000608807 2.25e-05 0.07519899 0.004419491 0.009831112 0.03573925 0.01943674 0.004194007 2.25e-05 4.51e-05 0.009515434 0.006584139 0.008658594 6.76e-05 0.03316873 0.077611671 0.00042842 0.001037227 0.004396942 0.001307809 0.043112584 0.000135291 0.137703218
ZMGT937-01 0.000300926 0.000486111 2.31e-05 0 0.038402778 0 0 0.03974537 0.022708333 0 0 0.001064815 0 0.000625 0.000115741 0 0.034097222 0.002662037 0.00912037 0.000578704 0 0.128634259 6.94e-05 0 0.10974537 6.94e-05 0.000277778 0.002638889 6.94e-05 4.63e-05 0.450532407 0 0.011597222 0.003935185 0.001805556 4.63e-05 0.04587963 0.000300926 4.63e-05 2.31e-05 0.01849537 0.021180556 0.034282407 0 0.00337963
ZMS5W76-02 0 0.00153303 0 0 0.028523646 4.65e-05 0.001347208 0.072052402 0.017420793 0 0 0.004041624 0 0.002229862 0.001625941 0.000557465 0.023134814 0.071773669 0.038697389 0.000789743 4.65e-05 0.115163059 0.00204404 0.000418099 0.092399889 0 0.002415683 0.005667565 0.000325188 0 0 0 0.021276596 0.000232277 0.114466227 0.001300753 0.034284122 0.010406021 9.29e-05 0.00929109 0.000185822 0.003855802 0.083062343 0 0.012868159
ZN3TBJM-01 0.000547512 0.006691812 6.08e-05 0.000182504 0.654945857 0.000608347 0 0.05767125 0.000669181 0.000243339 6.08e-05 0.00182504 0.000486677 0.000547512 0.000730016 0 0.00091252 0.004258426 0.009186032 0 0.000182504 0.016364521 0.000365008 6.08e-05 0.052196131 0.00079085 0.004258426 0.014721986 0 0.003224237 0.000669181 0.000243339 0.0122886 0.004380095 6.08e-05 6.08e-05 0.005961796 0.01831123 6.08e-05 0.000304173 0.006874316 0.00182504 0.058218761 0 0.050492761
ZN9TKCJ-01 0.010187121 0.041391882 0.001608493 0.000160849 0.309045091 0.000214466 0.000321699 0.09441853 0.001394027 0.000160849 0.022733366 0.000428931 0.005897807 0.003538684 0.000965096 0 0.003538684 0.004021232 0.005683341 0.000321699 0 0.136882741 0.000536164 0.000321699 0.094901078 0.000857863 0.030400515 0.007559916 0.013564956 5.36e-05 0.000107233 0.000160849 0.013350491 0.032545172 0.000268082 0 0.030561364 0.020964023 0.000214466 0.00075063 5.36e-05 0.001072329 0.060372098 0.004021232 0.01726449
ZNDMXI3-01 0 0.016135025 0 0 0.532561966 5.31e-05 0.000265379 0.007112149 0.000796136 0 0.0044849 0.003662226 0.000132689 0.000849212 0.000212303 0.008784035 0.001379969 0.002813014 0.001645348 0.000132689 0 0.100313147 0.001273818 0 0.034366541 0 0.00087575 0.037683775 2.65e-05 0.013481238 5.31e-05 0 0.018894963 0 0.00374184 0.000159227 0.000132689 7.96e-05 0 0 2.65e-05 0.001539196 0.018470357 2.65e-05 0.003370309
ZNED4XZ-01 0.002524992 0.001494383 0.000257652 0 0.315469442 0 0 0.003916315 0.003091827 0 0.000103061 0.00221581 5.15e-05 0.023910131 0.000979079 0 0.078171699 0.004792332 0.000103061 0 0 0.022055035 0.002473462 0 0.008141812 0 0.004277028 0.032515717 0 0.015046893 0.06008451 0 0.002782645 0 5.15e-05 0 5.15e-05 0.000103061 0 0.002988766 0 0.001442853 0.006132124 0 0.008244873
ZNQOVZV-01 0 0.065605032 0.000100365 0 0.55207253 0 0 0.037804021 0.000602188 0 0.000401459 3.35e-05 0.000468368 0.010571744 0.006590613 0 0.002107658 0.005419692 0.006122244 0.00013382 0.000334549 0.031179954 0.001037101 0.000167274 0.035027266 0.006624067 0.007058981 0.023819879 0 0 0.035562544 3.35e-05 0.009568097 0.004683684 0.001706199 3.35e-05 0.014385601 0.000903282 0.000267639 0.000401459 0 0.000769462 0.024890435 0 0.022950052
ZO5QFNX-1012 0.000314619 0.02918968 0.000244704 0.000279662 0.531426973 0.021429071 0.000244704 0.014367615 0.000804027 0 0.000104873 0.000524366 0.000209746 0.0018178 0.001608054 0.000419492 0.003181151 0.002167377 0.000629239 0.000104873 0 0.093057401 0.0018178 6.99e-05 0.049674893 0.002237293 0.01307418 0.024225687 0.000279662 0.005033909 6.99e-05 0 0.013913165 0.010976718 0 6.99e-05 0.016045585 0.000699154 0.000174789 0.000978816 0.000244704 0.0009089 0.080018178 0 0.025868699
ZO94RDZ-02 0.004459525 0.018856035 0.000290839 0.000581677 0.588511876 0 0.001163354 0.040038778 0.001696558 0 0.007125545 0.000290839 0.004459525 0.004314106 0.0095492 9.69e-05 0.008095007 0.003150751 0.006349976 0.001260301 0.000193892 0.089626757 0.017692681 0.000290839 0.028647601 0.000872516 0.021376636 0.015608337 0.001308774 0 0 0.000290839 0.017498788 0.007270965 9.69e-05 0 0.024866699 0.004556471 0.000339312 0.002472128 0.000145419 0.00063015 0.027920504 0 0.015317499
ZO9UWDL-01 0.001502705 0.051843318 0.000250451 0.000350631 0.322029653 0.002153877 0 0.017581647 0.001803246 0.003756762 0.015828491 0 5.01e-05 0.002254057 0.000300541 0 0.007914246 0.002855139 0.004658385 0.003255861 5.01e-05 0.136645963 0.000350631 0 0.073732719 0.000801443 0.041725105 0.058054498 0.000550992 0.008014426 0.003506311 0.001853336 0.013774795 0.002855139 0.000601082 0.00015027 0.02454418 0.009767582 0.00015027 0.002103787 0.015177319 0.014676418 0.079042276 0.005259467 0.051943498
ZODIOFW-03 0.00855549 0.01804967 0 0 0.521643512 0.003701121 0 0.049482379 0.001180068 0 0.000402296 0.000268197 0.000107279 0.002172397 0 2.68e-05 0.000455935 0.008957786 0.01992705 0.001287346 0.000187738 0.0171378 0.000777772 0 0.134205868 0 0 0.067880706 0.003459744 0.007268144 0.000482755 0 0.001019149 0.007080406 0.009628279 0.001582363 0.012793005 0 0 0.005149386 0.013490318 0.014563107 0.034114681 0 0.001206887
ZOQM06Q-1011 0.13624261 0.000112821 0 0 0.582156234 2.26e-05 0.001015389 0.022970351 0.006633873 0 0 0.001872828 0.001805136 0.006859515 0 0 0 0 0.005911819 0.000203078 0.001241031 0.049934564 0.001624622 0 0.017893407 0 2.26e-05 0.132700032 0 0.005031816 0 0 0.005934383 0 0.002053342 0 0 0.000225642 0 6.77e-05 0.002278984 0 0.009070806 0 0.001331288
ZOQSGYW-03 0.000138773 0.005897863 0 0 0.361504302 0 0.00020816 0.077504857 0.001734666 0.000763253 0.000971413 0.001248959 0.000277546 0.002844852 0.000485706 0.000138773 0.00020816 0.009922287 0.008326395 0.002428532 0 0.074590619 0.000138773 0 0.163544269 0.001248959 0.012212046 0.003955037 0 0.009436581 0.009783514 6.94e-05 0.032611712 0.012003886 0.00020816 0 0.018040522 0.007979462 0.000277546 0.00020816 0.002636692 0.000485706 0.138218152 0.000485706 0.036289203
ZPDABJR-3011 0.000482092 0.037542936 0.000120523 0.00014061 0.077717293 0.000843661 0.000180785 0.012273266 0.000482092 0.0007834 0.015667999 0.000421831 0.000763313 0.001225318 0.002008718 4.02e-05 0.003113513 0.013960589 0.004218307 0.000200872 0.01558765 0.185364482 0.000241046 4.02e-05 0.05417512 0.004278569 0.01295623 0.056846715 0.002089067 0.009641846 0.000180785 4.02e-05 0.010364984 2.01e-05 8.03e-05 0 0.043830223 0.012755358 0 0.000301308 0.010063676 0.014161461 0.128236547 0.001044533 0.029126409
ZPEL6L3-1012 0.002460249 0.011663402 4.56e-05 0.000683402 0.310583626 0.007836348 0.000227801 0.01954531 0.000546722 0.001002324 0.003006971 9.11e-05 4.56e-05 0.001093444 0.000728963 0 0.003599253 0.009066472 0.00277917 0 4.56e-05 0.131577748 0 4.56e-05 0.072759579 0.002004647 0.02797394 0.034899084 0.001594606 0.002141328 0 0.000455602 0.002460249 0.002414689 9.11e-05 9.11e-05 0.077725637 0.007152945 0.000227801 0.000364481 0.006241742 0.011663402 0.083876259 0.017722903 0.083101736
ZPF36E2-01 5.56e-05 0.003114095 9.73e-05 0 0.351281089 0.002947269 0 0.00553308 0.000667306 0 0.000291946 0.000583893 0.000458773 0.001904603 0.000987057 0.00182119 0 0.001668265 0.003030682 9.73e-05 0.000111218 0.077643853 0.000861937 8.34e-05 0.406278239 2.78e-05 0.00653404 0.004657241 0.001529243 0.008202305 2.78e-05 4.17e-05 0.001362417 0.001723874 0.000931448 0.000305849 0.010148615 0.000347555 8.34e-05 0.000264142 0.001473634 0.001334612 0.073890256 0 0.018392626
ZPMBHPS-01 0.00011274 0.020124014 0.000169109 0 0.482243517 0.014036077 0.00011274 0.004565953 0.000732807 0 0 0.000394589 0.00011274 0.013641488 0.000338219 0 0.000845547 0.007328072 0.000789177 0 0.000281849 0.025873732 5.64e-05 0 0.017531003 0.005749718 0.006144307 0.019954904 0.000507328 0 0.00011274 5.64e-05 0.095941375 0.00276212 0.011104848 0.011499436 0.068151071 0.001240135 5.64e-05 0 0.000281849 0.000507328 0.033483653 0.000169109 0.009582864
ZPXU188-01 0.001129688 0.016870011 0.001656876 0.000225938 0.421147763 0 0.000903751 0.005196566 0.00030125 0 0.012200633 0 0 0.003916252 0.000451875 0 0.01152282 0.001430938 0.000677813 0.000903751 0.000225938 0.00474469 0.002334689 0.000225938 0.017999699 0.066124416 0.061982226 0.029974394 0.002259376 0.014384696 0 0.000225938 0.002786564 0.003087814 7.53e-05 0 0.033890646 0.03607471 7.53e-05 0.000979063 0.015439072 0.002259376 0.053773159 0.003313752 0.069588793
ZQFL1P3-01 0 0.014621815 0.000344719 8.62e-05 0.352819511 0.0032461 8.62e-05 0.011088449 2.87e-05 0.002125765 0.060957743 0 0.000201086 0.004596248 0.000143633 0.000229812 0.000861797 0.000258539 0.000373445 0 0.000172359 0.18037402 0.000660711 0 0.038091408 0.001838499 0.015857057 0.026141162 5.75e-05 0 0 0.000229812 0.018384993 0.010427738 0.000718164 0 0.046939186 0.003734452 0.000201086 0.000976703 0.003217374 0.025336819 0.033294074 0.001953406 0.036023096
ZQMVU4Q-01 0.040038556 0.015867131 0.001853637 0.0008156 0.507896493 0 0 0.028694298 0.000889746 0 0.008007711 0 0.002669237 0.101950026 0.008304293 0 0 0 0 0.004819456 0.001186328 0.007562838 0.069029436 0 0.013568622 0 0.017572477 0.025802625 0.025209461 0 0.000667309 0 0.0016312 0.000148291 0 0.000222436 0.000222436 0 0.000222436 0.002150219 0 0 0.032846445 0 0.076295692
ZQNZSQF-01 0.000586209 0.039569136 0.000659486 0.000366381 0.120905694 0 0.000439657 0.024474243 0.001099143 0.014288855 0.001025866 0.001978457 0 0.003956914 0.003077599 0.000219829 0.00095259 0.001245695 0.002271562 0 7.33e-05 0.178354217 0.00095259 0 0.084780538 0 0.014362131 0.21894922 0.030556166 0.008793141 0 7.33e-05 0.021250092 0.015461274 7.33e-05 0 0.072103759 0.003956914 0 0 0.001685352 0.007620723 0.07342273 0 0.049388144
ZR3WH7V-01 0.002830249 0.018010678 6.43e-05 6.43e-05 0.633954416 0.002058363 0.000257295 0.011020819 0.001415125 0.002787367 4.29e-05 0 2.14e-05 0.001436566 0.001393683 0.000343061 0.000707562 0.002894573 0.001286477 4.29e-05 0 0.022942173 8.58e-05 2.14e-05 0.086622784 0.001436566 0.008297777 0.011749823 0.006389502 0.007097065 0 0 0.004138168 0.000857651 8.58e-05 2.14e-05 0.005917794 0.007933275 0.000107206 6.43e-05 0.001200712 0.001458007 0.069426875 0.027980874 0.024378739
ZR47VBL-02 1.96e-05 0.025031841 0 0 0.487508573 0.003027334 0.000293916 0.011492113 0.00251788 0.002576663 0.008827275 0.001234447 0.000186147 0.000715195 0.003350642 0.003066523 0.001841873 0.004839816 0.002841187 1.96e-05 3.92e-05 0.11720388 0.000293916 5.88e-05 0.094631135 0 0.008984031 0.035044577 0.018399138 0.006897227 0 9.8e-06 0.003732732 0.002899971 0.000117566 0.000195944 0.011305966 0.006035074 9.8e-06 0.00055844 0.000754384 0.00042128 0.042980308 0 0.03073381
ZRA5YD8-01 0.000172488 0.014057784 5.75e-05 2.87e-05 0.736265632 0 0.000172488 0.00232859 0 0 0.000114992 8.62e-05 2.87e-05 0.004053471 0.00043122 2.87e-05 5.75e-05 0.000229984 0.000316228 2.87e-05 0 0.006525801 0.000201236 0 0.007675722 0.000776197 0.004340952 0.01178669 0.020094868 0.006037085 2.87e-05 2.87e-05 0.005950841 2.87e-05 5.75e-05 0.000258732 0 0.000517464 0 2.87e-05 0.000488716 5.75e-05 0.006324565 0.166882277 0.003162283
ZRB0F6P-6011 0 0.005817835 0.000381497 0.000190749 0.029184549 0.283738674 0.000381497 0.019837864 0.000762995 9.54e-05 0.000381497 0.000953743 0.000190749 0.001812113 0.000762995 0 0.004482594 0.003624225 0.006771578 0.000286123 0.003051979 0.096804959 9.54e-05 9.54e-05 0.064663805 0.000286123 0.02393896 0.005340963 0.00152599 0.018502623 0 0.000190749 0.021936099 0 9.54e-05 9.54e-05 0.026609442 0.161278016 0.000190749 0.000762995 0.005340963 0.001335241 0.086218407 0.009251311 0.081640439
ZRLZ98T-6011 0 0.493067833 0.001116591 0 0.016097516 0.007443938 9.3e-05 0.010328464 0.000558295 0.000651345 0.00595515 0.004931609 0.000279148 0 0.000465246 0.003442821 0.001860984 0.002326231 0.000837443 9.3e-05 0.002047083 0.023262306 0 0 0.018423746 0.000558295 0.036661394 0.00362892 0 0.006606495 0 0 0.008560529 0.002605378 0.000558295 0 0.050060482 0.078161347 0.001674886 0.008746627 0.002884526 0.005769052 0.026053782 0 0.153717316
ZS78KHV-01 0 0.011877529 0.000175963 0 0.243357382 0.001495689 0.000175963 0.019795882 0.001143762 0.001583671 0 0.00105578 0 0.002023579 0.002815414 0.000351927 0.004223122 0.021643498 0.00466303 0 0.00519092 0.26086574 0.000175963 0 0.085958121 0.001583671 0.01293331 0.005894774 0.000879817 0 0.036952314 8.8e-05 0.033784973 0.005630829 0.000439908 0 0.00879817 0.037040296 0.000175963 0.000967799 0.001847616 0.001935597 0.081471054 0 0.050237551
ZSOZWGV-01 0.012882335 0.006313043 0.000535793 0.000372726 0.498776994 0 0 0.067300301 0.000605679 0 0.005521001 0.000489203 0.000815338 0.009853938 0.007198267 0 0.00291192 0.003401123 0.004239756 4.66e-05 4.66e-05 0.046753791 0.002119878 0.000186363 0.068418478 0 0.011438023 0.023015818 0.023598202 0.089966688 0.00034943 2.33e-05 0.012486314 0.003447714 0.000186363 0 0.038786778 0.000465907 4.66e-05 0.000139772 0.000396021 0.001514199 0.024087404 0 0.021431733
ZSQNUZ5-02 0.043138737 0.041438378 0.000125953 6.3e-05 0.459411802 0.010642988 0.001196549 0.023301215 0.000377858 0.001700359 0.000188929 0 0.000629763 0.000755715 0.005793816 0 0.003148813 0.004093457 0.004534291 0.000125953 0 0.075634486 0.000125953 0.000125953 0.137351219 0.004030481 0.011209774 0.031865987 0.000251905 0.015303231 0 0 0.009131557 0.005352982 0.000881668 0 0.018200139 0.006990365 0.000125953 0.000440834 6.3e-05 0.001385478 0.035266704 0 0.018766925
ZSUQ08V-01 0.010127055 0.00941704 0.001158445 3.74e-05 0.185351271 0 0 0.084828102 0.000971599 0.000859492 0.000710015 0.000149477 0 0.003849028 0.003624813 0 0.002279522 0.011846039 0.018497758 0.000186846 0.0004858 0.053437967 0.001681614 0 0.295852018 0 0.005418535 0.021786248 0.004110613 0 0.000149477 0.000822123 0.008931241 0.024289985 0.001307922 0 0.023804185 0.017115097 0 0.00190583 0.021188341 0.003363229 0.079409567 0 0.028400598
ZTJ7L7Z-01 0 0.015365867 2.65e-05 0.000158957 0.159487098 0.002066444 7.95e-05 0.043660255 0.002172416 7.95e-05 0.000503365 0.000715308 0 0.000688815 0.001298151 7.95e-05 0.00193398 0.017379325 0.003947438 2.65e-05 0.00174853 0.055979442 0.000132464 0 0.049409209 0.000953743 0.011550893 0.005192603 0.000105971 0 0.362237058 0 0.023313729 0.022280507 0.000158957 0 0.017432311 0.01557781 0.000211943 0.000582843 0.002172416 0.000794786 0.074842367 0 0.085889896
